Name,CustomerID,EmailAddress
Sally Smith,1,sally.smith@gmail.com
Maya Griffith,2,maya.griffith@gmail.com
Lauren Bentley,3,lauren.bentley@gmail.com
Paul Brown,4,paul.brown@gmail.com
Nikkole Shlomo,5,nikkole.shlomo@gmail.com
Michelina Marylu,6,michelina.marylu@gmail.com
Idowu Vincas,7,Idowu.vincas@gmail.com
Vladimeru Samuel,8,vladimeru.samuel@gmail.com
Tighearnach Raj,9,tighearnach.raj@gmail.com
Ortwin Fedelmid,10,ortwin.fedelmid@gmail.com
Seppo Bahram,11,seppo.bahram@gmail.com
Indrani Gronw,12,indrani.gronw@gmail.com
Furiosa Zorro,13,furiosa.zorro@gmail.com
Elora Maleficent,14,elora.maleficent@gmail.com
Ramana Pramoda,15,ramana.pramoda@gmail.com
Vayu Indira,16,vayu.indira@gmail.com
Harisha Shivani,17,harisha.shivani@gmail.com
Mustafa Alija,18,mustafa.alija@gmail.com
Hywel Sawyl,19,hywel.sawyl@gmail.com
Jackie Horton,20,jackie.horton@gmail.com
